Date,Name,Year,Letterboxd URI
2021-06-23,Citizen Kane,1941,https://boxd.it/71O
2021-06-23,Ex Machina,2014,https://boxd.it/7T2k
2021-06-23,Room,2015,https://boxd.it/7T0y
2021-06-23,The Witch,2015,https://boxd.it/9X0m
2021-06-23,Good Time,2017,https://boxd.it/fcFu
2021-06-23,Gifted,2017,https://boxd.it/e5dG
2021-06-23,Brooklyn,2015,https://boxd.it/5bdk
2021-06-23,Captain Fantastic,2016,https://boxd.it/b2K2
2021-06-23,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w
2021-06-23,Onward,2020,https://boxd.it/io92
2021-06-23,Raya and the Last Dragon,2021,https://boxd.it/jbkI
2021-06-23,Noah,2014,https://boxd.it/34QA
2021-06-23,War Dogs,2016,https://boxd.it/9SlO
2021-06-23,Rushmore,1998,https://boxd.it/1TAO
2021-06-24,Lawrence of Arabia,1962,https://boxd.it/2wRE
2021-06-25,Sicario,2015,https://boxd.it/8i7u
2021-06-25,Brokeback Mountain,2005,https://boxd.it/2b2q
2021-06-26,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q
2021-06-26,Bottle Rocket,1996,https://boxd.it/1PDa
2021-06-26,Bicycle Thieves,1948,https://boxd.it/23hW
2021-06-27,Magnolia,1999,https://boxd.it/2aze
2021-06-27,Brother Bear,2003,https://boxd.it/1Xjs
2021-06-28,Life in a Day 2020,2021,https://boxd.it/r6Nw
2021-06-29,The Shape of Water,2017,https://boxd.it/dZ5m
2021-06-29,Maudie,2016,https://boxd.it/ceaW
2021-06-29,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk
2021-06-29,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS
2021-06-29,Pacific Rim,2013,https://boxd.it/2cB2
2021-06-29,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU
2021-06-29,Hellboy II: The Golden Army,2008,https://boxd.it/1Ug6
2021-06-29,Back to the Future Part II,1989,https://boxd.it/2aYI
2021-06-29,Back to the Future Part III,1990,https://boxd.it/2aTS
2021-06-29,Who Framed Roger Rabbit,1988,https://boxd.it/29ry
2021-06-29,The Polar Express,2004,https://boxd.it/23am
2021-06-29,Contact,1997,https://boxd.it/29OM
2021-06-29,The Walk,2015,https://boxd.it/8Rao
2021-06-29,A Christmas Carol,2009,https://boxd.it/1HKW
2021-06-29,Hellboy,2004,https://boxd.it/28HK
2021-06-29,Man of Steel,2013,https://boxd.it/FRk
2021-06-29,Kangaroo Jack,2003,https://boxd.it/1VMM
2021-06-29,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW
2021-06-30,Hot Fuzz,2007,https://boxd.it/2416
2021-06-30,The Dark Knight Rises,2012,https://boxd.it/H3m
2021-06-30,Batman Begins,2005,https://boxd.it/2aIg
2021-07-01,Kung Fu Panda,2008,https://boxd.it/1Yws
2021-07-01,Kung Fu Panda 2,2011,https://boxd.it/G36
2021-07-01,Kung Fu Panda 3,2016,https://boxd.it/4uRQ
2021-07-01,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO
2021-07-03,Euphoria: Trouble Don't Last Always,2020,https://boxd.it/ta4a
2021-07-03,Euphoria: F*ck Anyone Who’s Not a Sea Blob,2021,https://boxd.it/tMkU
2021-07-04,The Iron Giant,1999,https://boxd.it/1Wow
2021-07-04,Mission: Impossible - Ghost Protocol,2011,https://boxd.it/psI
2021-07-04,Ratatouille,2007,https://boxd.it/27ww
2021-07-04,The Incredibles,2004,https://boxd.it/1XLm
2021-07-04,Incredibles 2,2018,https://boxd.it/7IPg
2021-07-04,Where the Wild Things Are,2009,https://boxd.it/1K0C
2021-07-04,The Fighter,2010,https://boxd.it/PP4
2021-07-04,Instant Family,2018,https://boxd.it/hHpQ
2021-07-04,Kingsman: The Golden Circle,2017,https://boxd.it/buJm
2021-07-06,A Quiet Place Part II,2020,https://boxd.it/iTx0
2021-07-07,Requiem for a Dream,2000,https://boxd.it/29VI
2021-07-08,Never Rarely Sometimes Always,2020,https://boxd.it/lWJk
2021-07-09,The Intern,2015,https://boxd.it/7AOE
2021-07-10,Source Code,2011,https://boxd.it/fdo
2021-07-11,Shazam!,2019,https://boxd.it/8WBu
2021-07-13,The Shining,1980,https://boxd.it/29Nu
2021-07-14,Shaun of the Dead,2004,https://boxd.it/29J8
2021-07-20,Doctor Sleep,2019,https://boxd.it/i5vI
2021-07-22,Rear Window,1954,https://boxd.it/2a6Q
2021-07-23,Godzilla vs. Kong,2021,https://boxd.it/e0qK
2021-07-26,Cruella,2021,https://boxd.it/bbKg
2021-08-01,Penguin Bloom,2020,https://boxd.it/mRZE
2021-08-06,Judas and the Black Messiah,2021,https://boxd.it/lsew
2021-08-15,The Suicide Squad,2021,https://boxd.it/fw6O
2021-08-22,The Butterfly Effect,2004,https://boxd.it/27M0
2021-08-29,Zack Snyder's Justice League,2021,https://boxd.it/tLOk
2021-08-29,Prometheus,2012,https://boxd.it/2s9e
2021-08-30,Alien: Covenant,2017,https://boxd.it/49UY
2021-09-05,Pi,1998,https://boxd.it/2ajq
2021-09-05,Black Widow,2021,https://boxd.it/hWV8
2021-09-10,Another Round,2020,https://boxd.it/lkba
2021-09-12,Boogie Nights,1997,https://boxd.it/23um
2021-09-14,The Three Deaths of Marisela Escobedo,2020,https://boxd.it/sh3Q
2021-09-17,My Octopus Teacher,2020,https://boxd.it/prk2
2021-09-22,The Host,2006,https://boxd.it/28ZY
